natural_language_processing,text_mining,4
knowledge_discovery,natural_language_processing,3
data_mining,knowledge_discovery,3
artificial_intelligence,knowledge_management,3
knowledge_discovery,text_mining,2
knowledge_management,natural_language_processing,2
knowledge_discovery,machine_learning,2
classification,support_vector_machine,2
knowledge_transfer,support_vector_machine,2
knowledge_transfer,transfer_learning,2
machine_learning,natural_language_processing,2
knowledge_representation,support_vector_machine,2
knowledge_management,support_vector_machine,2
automation,expert_system,2
knowledge_representation,ontology,2
design,performance,2
deep_learning,knowledge_transfer,2
decision_support,support_vector_machine,2
expert_system,knowledge_management,2
embedding_model,knowledge_base,2
fungramkb,natural_language_processing,2
genetic_algorithm,support_vector_machine,2
knowledge_acquisition,knowledge-based_engineering,2
expert_system,knowledge_base,2
knowledge_acquisition,natural_language_processing,2
incremental_learning,knowledge_discovery,2
data_mining,rough_set,2
knowledge_acquisition,knowledge_representation,2
algorithms,design,2
artificial_neural_network,data_mining,2
artificial_intelligence,knowledge_acquisition,2
algorithms,performance,2
rough_set,rule_induction,2
artificial_neural_network,multi-criteria_decision_making,2
artificial_neural_network,multilayer_perceptron,2
support_vector_machine,support_vector_machine,2
genetic_algorithm,semantic_similarity,1
performance,theory,1
information_extraction,knowledge_discovery,1
incremental_learning,rough_set,1
gis,support_vector_machine,1
reinforcement_learning,transfer_learning,1
genetic_algorithm,transfer_learning,1
performance,transfer_learning,1
investment_decision,rough_set_theory,1
investment_decision,multi-criteria_decision_making,1
k-means_clustering,knowledge_management,1
investment_decision,soft_computing,1
information_extraction,relation_extraction,1
information_extraction,named_entity_recognition,1
information_extraction,machine_learning,1
ontology,soft_computing,1
information_extraction,natural_language_processing,1
genetic_algorithm,neural_network,1
fuzzy_inference_system,investment_decision,1
feature_selection,knowledge_discovery,1
fuzzy_inference_system,knowledge_engineering,1
fuzzy_inference_system,knowledge_base_verification,1
expert_system,word_sense_disambiguation,1
theory,transfer_learning,1
expert_system,fuzzy_system,1
expert_system,modelling,1
expert_system,machine_learning,1
fuzzy_logic,neuro-fuzzy,1
fuzzy_logic,knowledge-based_systems,1
